student_id,age,gender,course,year,study_hours_per_day,attendance_percent,previous_semester_marks,assignment_score,internal_marks,sleep_hours_per_day,screen_time_hours_per_day,social_media_hours_per_day,practice_tests_completed,extracurricular_level,internet_access,parent_education,scholarship,part_time_job,final_exam_marks
STU100043,23,Male,Mechanical Engineering,3rd,2.3,67.7,59.4,73.6,71.9,7.3,6.7,0.5,9,Medium,Good,Graduate,No,No,72.7
STU100044,22,Male,Civil Engineering,1st,6.5,86.2,84.5,65.3,66.1,6.8,4.4,4.6,8,Medium,Average,School,Yes,No,88.2
STU100045,19,Male,Electronics,2nd,6.6,69,55,95.7,76.8,8.6,3.5,4,2,Medium,Average,School,Yes,No,80
STU100046,20,Male,Data Science,1st,5.5,62.4,64.4,73.6,74,5,5.2,3.2,3,Low,Poor,Postgraduate,No,Yes,78.9
STU100047,23,Male,Data Science,3rd,5.9,90.7,78.4,57.6,44.1,4.6,3.4,0.8,10,Medium,Poor,Postgraduate,No,No,69.4
STU100048,20,Male,Data Science,3rd,7,84.2,71.9,83.3,90.6,7,9.6,1.1,8,Medium,Average,Postgraduate,No,No,100
STU100049,17,Female,Civil Engineering,1st,3.8,64.9,70.2,78,39.6,7.7,3.7,1.3,6,Low,Poor,Diploma,No,No,60.9
STU100050,19,Male,Mechanical Engineering,3rd,6.4,79.7,82.4,45.7,48.3,4.9,5.6,1.7,4,Medium,Good,Diploma,No,No,65.7
STU100051,21,Male,Data Science,4th,7.1,65.3,71.4,92.1,69,5.4,6.2,2.8,6,Medium,Good,Diploma,No,No,89.6
STU100052,19,Female,Computer Engineering,1st,8.3,76.2,60.9,73.5,74.1,7.7,7.1,0,6,Medium,Average,Diploma,No,No,81
STU100053,23,Male,Data Science,4th,2.6,80.1,51.1,86.8,66,5.5,3,0.6,6,High,Average,Graduate,No,No,67.4
STU100054,21,Male,Information Technology,3rd,5.6,68.3,74.3,78.2,62.4,6.5,6.1,2.2,5,Medium,Average,Graduate,No,No,73.6
STU100055,17,Female,Civil Engineering,4th,2.9,86.9,58,,68.8,7,1.9,4,5,Low,Good,Graduate,No,No,64.4
STU100056,23,Female,Information Technology,1st,2.8,88.8,64.9,78.4,77.4,7.9,5.8,2,3,High,Poor,Graduate,No,No,84
STU100057,18,Male,Data Science,4th,5.5,81.2,82,70.5,53.9,6.5,5.1,2.8,5,High,Poor,Diploma,Yes,No,92.5
STU100058,20,Male,Data Science,3rd,5,83,65.1,76.4,54.4,7.3,6.7,4.1,3,Low,Poor,Postgraduate,No,No,73.1
STU100059,17,Male,Information Technology,3rd,7.1,60.6,62.2,81,57.9,5.4,5.7,1.3,7,Medium,Average,Graduate,No,No,83
STU100060,20,Male,Civil Engineering,3rd,4.1,94.3,64.4,74.2,88.5,,5,1,4,Low,Poor,Postgraduate,Yes,No,93
STU100061,22,Female,Civil Engineering,1st,4.5,76.9,64.7,79,75.2,5.8,5.1,0.8,5,Medium,Good,Diploma,Yes,No,80.4
STU100062,18,Male,Data Science,4th,5.2,66.8,55.1,66.4,78,5.3,2.3,2.1,5,Low,Good,School,Yes,No,78
STU100063,18,Male,Civil Engineering,3rd,3.1,79.8,89.8,63.4,92.3,9.1,3.6,1.5,1,Medium,Good,Graduate,Yes,No,97.8
STU100064,17,Female,Electronics,1st,3.4,86.9,60.9,83.6,81,8.8,8.2,5,5,Low,Average,Postgraduate,Yes,No,80.6
STU100065,18,Female,Civil Engineering,1st,7,84.1,78.2,93.8,72.2,7,5.6,2.9,4,Low,Average,Graduate,No,No,91
STU100066,21,Male,Information Technology,1st,3.7,65,54.8,64.2,91.8,8.5,6.6,3.5,6,Low,Good,School,Yes,No,84.7
STU100067,18,Female,Mechanical Engineering,3rd,7.2,87.1,75.1,76.7,56.4,6.4,4,1.2,11,Medium,Average,School,No,Yes,84.7
STU100068,20,Male,Information Technology,3rd,6,77.3,70.2,50.9,66.3,6.7,6.9,2.4,5,Low,Average,School,Yes,No,77.1
STU100069,20,Female,Computer Engineering,2nd,1.7,84,68.3,99.1,86.2,6.6,4.6,2,5,Medium,Average,School,No,No,84.4
STU100070,23,Male,Electronics,2nd,5.9,68.4,70.3,89.2,39.3,5.8,2.3,2.8,4,Low,Poor,Postgraduate,No,No,79.6
STU100071,20,Male,Mechanical Engineering,3rd,5.8,90.6,73.4,63.2,58.8,4.2,5,3.1,7,Low,Good,Graduate,Yes,No,86.9
STU100072,23,Male,Data Science,3rd,5.6,80.2,65.1,66.7,81.1,6.5,7.8,2,5,Low,Good,Graduate,Yes,No,84.4
STU100073,20,Male,Computer Engineering,1st,4.5,92.3,65.7,90.1,71.5,8.2,1.1,2.2,5,High,Good,School,Yes,No,81.7
STU100074,21,Male,Computer Engineering,2nd,2.9,59.6,75.5,74.6,77.2,7.1,6.7,4.2,7,Low,Good,Graduate,No,No,82.7
STU100075,23,Female,Electronics,1st,7.5,61.2,53.2,81.5,43.2,7.7,5.5,1.1,5,Medium,Poor,Diploma,No,No,69
STU100076,19,Female,Mechanical Engineering,4th,4.6,75.1,51.1,57.2,58.2,7.2,10.4,3.6,3,Medium,Good,Postgraduate,No,No,76.2
STU100077,22,Male,Computer Engineering,3rd,3,95.6,70.3,80.7,79.1,5.9,9.8,2.9,1,Medium,Poor,Graduate,No,No,82.6
STU100078,17,Male,Mechanical Engineering,4th,5.7,100,41.9,69.8,57.4,7.1,1.7,3.6,6,Low,Good,Diploma,No,Yes,76.9
STU100079,20,Male,Mechanical Engineering,2nd,3.3,67.3,46.1,76.5,81.5,6.4,8,2,1,Low,Good,Graduate,Yes,No,72.6
STU100080,18,Female,Civil Engineering,4th,2.9,78.6,91.5,66,74,5.6,4.4,4,7,Medium,Average,Graduate,No,No,75
STU100081,20,Female,Computer Engineering,3rd,4,79.9,88.1,68.8,53.6,7.8,4.8,1.5,4,Medium,Poor,Graduate,No,No,86.7
STU100082,18,Female,Mechanical Engineering,2nd,3.5,86.6,60.6,73.6,74.8,5.4,4,3.3,4,Medium,Good,Postgraduate,No,No,78.3
STU100083,22,Female,Electronics,1st,3,88.6,81,63.2,80.5,6.1,3.8,3.2,5,Low,Good,Postgraduate,No,No,80.4
STU100084,22,Male,Computer Engineering,3rd,6.4,64.6,81.4,100,75.1,9.2,7.8,2.7,7,Low,Average,School,No,No,92.6
STU100085,22,Male,Electronics,4th,4.6,78.8,74.1,56.2,77.5,7.6,1,4,2,Low,Good,School,No,No,78.4
STU100086,18,Female,Electronics,1st,7.3,53.9,67,79.5,45.8,7.1,3.9,4.2,6,High,Good,Postgraduate,No,No,68.9
STU100087,20,Female,Mechanical Engineering,1st,3.1,87.7,76.1,76.5,100,4.4,6.6,3.5,3,Medium,Average,Graduate,No,No,84.1
STU100088,22,Male,Mechanical Engineering,3rd,1.3,73.9,78.4,83.4,100,6.7,1.1,5.2,7,Medium,Good,Diploma,No,Yes,88.6
STU100089,21,Male,Civil Engineering,4th,5.1,63.5,76.3,34.5,90,5.5,4.7,1.9,4,High,Good,School,No,Yes,91.8
STU100090,23,Female,Civil Engineering,3rd,8.5,82,47.9,46.7,71.6,6.7,2.8,2.1,3,Medium,Average,Graduate,No,Yes,78.6
STU100091,18,Male,Computer Engineering,2nd,5.9,73.6,94.4,63.8,64.3,6.6,5.7,2.9,3,Medium,Average,Postgraduate,Yes,No,72.9
STU100092,18,Male,Civil Engineering,2nd,11.2,93.1,98,85.8,64.6,5.9,5.3,2.2,7,Medium,Average,Postgraduate,No,No,100
STU100093,20,Female,Data Science,2nd,5.5,,43.2,68,81,8.1,7.1,2,4,Low,Poor,Diploma,No,No,74.8
STU100094,18,Male,Computer Engineering,4th,5.3,100,74.6,67.4,85,7.9,1,0.3,2,Low,Good,Postgraduate,Yes,Yes,90.9
STU100095,18,Male,Electronics,4th,0.5,88.3,94.6,72.2,60.9,5.6,6.1,3.7,8,Medium,Average,School,No,No,75.5
STU100096,22,Female,Civil Engineering,3rd,5.7,93.5,81,59.4,69.7,8.5,3.7,2.3,8,Medium,Average,Postgraduate,No,No,88.7
STU100097,20,Female,Civil Engineering,2nd,5.1,65.7,81.2,79.1,87.6,5.5,8.1,2.4,4,Low,Average,Postgraduate,No,Yes,78.2
STU100098,22,Other,Civil Engineering,4th,4,99.5,49.3,74.9,68.6,8.6,4.3,1,8,Medium,Average,Postgraduate,Yes,No,79
STU100099,23,Male,Mechanical Engineering,3rd,4.5,63.4,78.3,79.5,71.6,6.6,3.6,1.9,4,High,Good,School,No,No,82.3
STU100100,23,Male,Electronics,4th,4.7,75.5,71.1,94.7,89.3,6.4,4.1,2.9,7,Medium,Good,Postgraduate,Yes,Yes,98.2
STU100101,22,Female,Civil Engineering,3rd,4.4,93.7,78.1,68.5,87,8.4,6.3,0.7,1,High,Average,Diploma,No,No,89.9
STU100102,23,Female,Information Technology,4th,9,84.1,54.5,,81.3,6.6,6.6,2.2,4,Medium,Poor,Graduate,No,Yes,91.4
STU100103,20,Male,Information Technology,4th,4.1,63.1,54.1,57.2,55,8,5.1,1.8,4,Medium,Poor,School,No,Yes,61.6
STU100104,17,Female,Electronics,2nd,5.1,91.6,66.1,53.2,55.2,5.4,3.2,2.3,6,High,Average,Postgraduate,Yes,No,83.6
STU100105,22,Male,Civil Engineering,4th,4,82.1,63.1,71.9,59.7,6.8,2.8,2.2,7,Low,Average,Diploma,No,No,72.8
STU100106,21,Male,Data Science,1st,6.4,73,66,73.5,62.7,7.3,6.6,0.5,4,Medium,Good,Graduate,Yes,No,73.3
STU100107,21,Male,Data Science,4th,5.2,59.5,61.8,82.3,73,8.1,6.2,3.8,5,Low,Average,Postgraduate,No,Yes,70.6
STU100108,18,Male,Computer Engineering,4th,4.2,83.2,65.4,80.6,68.7,7.6,6,0,4,Medium,Average,Postgraduate,No,No,94.8
STU100109,23,Male,Computer Engineering,2nd,0.9,76,59.3,75.8,67.7,6.8,8.4,2.8,6,Medium,Average,Graduate,No,Yes,76.2
STU100110,21,Female,Civil Engineering,3rd,5.3,79.9,67.4,97.3,66.4,7.3,3.6,4.1,5,Low,Good,Graduate,No,Yes,82.3
STU100111,18,Female,Computer Engineering,3rd,4.2,59,49.5,67.3,57.7,6,9.2,2.4,6,Low,Average,Graduate,No,No,61.4
STU100112,17,Female,Mechanical Engineering,4th,4.7,73,74.7,69.2,63.5,7.5,5.9,0.4,4,Low,Good,Graduate,No,No,79.6
STU100113,20,Male,Data Science,4th,2.4,83.8,71.4,76.2,100,7.3,4.2,3.7,3,Low,Good,Postgraduate,No,No,94.1
STU100114,20,Male,Electronics,3rd,7.7,100,51.6,54.2,79.8,5.9,5.1,0.1,4,Medium,Average,Diploma,No,No,87.1
STU100115,20,Male,Civil Engineering,4th,6.5,75.5,85.2,82.3,70.3,6.9,2.8,2,5,Medium,Good,Graduate,No,No,83.6
STU100116,21,Male,Civil Engineering,2nd,7.7,95.3,57.3,73.1,49,7.6,3.2,4.2,6,Medium,Good,Graduate,No,No,76.3
STU100117,17,Female,Information Technology,1st,7.1,87.4,83.5,73.4,56.1,9.5,5,2.3,3,Low,Good,Postgraduate,No,Yes,79.3
STU100118,21,Female,Data Science,2nd,6,80.8,72.3,80.1,69.4,8.1,6.8,2.5,7,Low,Good,Diploma,No,Yes,74
STU100119,23,Female,Data Science,3rd,2.5,65.9,81,77.6,89,7,3.8,4.3,4,Medium,Average,School,No,No,71.8
STU100120,21,Male,Data Science,1st,8.5,66.4,70.3,78.2,73.2,7.1,9.5,0.2,6,Medium,Good,Graduate,Yes,No,82.4
STU100121,17,Male,Computer Engineering,3rd,2.9,85.4,75.4,66.2,73,6.6,5.1,2.6,5,Low,Good,School,No,No,89.4
STU100122,17,Male,Mechanical Engineering,2nd,4.3,71.7,80.9,95.5,85.5,6.9,4,2.5,1,High,Good,School,No,No,84.2
STU100123,23,Male,Electronics,4th,6.2,70.6,92.8,50.1,56.4,7.7,2.6,1.3,5,High,Average,Graduate,Yes,No,81.5
STU100124,17,Female,Computer Engineering,1st,6.3,75.8,82,61.7,89.7,7.6,4.2,1.6,7,Low,Average,Postgraduate,Yes,No,87.2
STU100125,17,Other,Mechanical Engineering,3rd,5.9,76,73.8,63.7,64.6,6.7,8.1,4,5,Medium,Good,Graduate,Yes,No,72.4
STU100126,20,Male,Data Science,3rd,4,88.8,50.5,61.2,86.2,5.6,8.6,0,10,Low,Average,Graduate,No,No,80.5
STU100127,23,Female,Mechanical Engineering,4th,3.6,,36.6,,93.4,6.6,6.4,2.2,4,High,Good,Graduate,No,No,63.2
STU100128,19,Female,Computer Engineering,3rd,9.9,87.6,66.3,96.7,57.3,18,5.3,1.4,5,Medium,Average,Graduate,No,Yes,98.3
STU100129,19,Male,Data Science,4th,4.7,83.3,58.7,81.6,70,5.5,2.3,2.8,4,Low,Average,Postgraduate,No,No,72
STU100130,17,Female,Computer Engineering,4th,4.5,57.9,59.2,62.5,81,7.5,1,1.7,7,Low,Average,Diploma,No,No,80.4
STU100131,19,Male,Electronics,3rd,3.4,81.5,66.9,82.5,66,7.2,5.6,2.8,7,Low,Good,School,No,No,80
STU100132,19,Male,Data Science,2nd,5.3,46,76.6,69.6,66.4,5.8,4.4,2.4,5,Medium,Poor,School,No,No,64.3
STU100133,17,Female,Mechanical Engineering,4th,5.2,67.3,59.9,67.6,64.4,6.4,4.1,2.6,7,Medium,Average,Postgraduate,Yes,Yes,77.6
STU100134,19,Female,Computer Engineering,3rd,4.8,83.6,79.6,57.6,44,7.1,6,2.3,3,Medium,Average,Graduate,No,No,72.3
STU100135,21,Male,Information Technology,2nd,5.6,77.9,68.4,72.3,84.8,7.1,2.5,2.6,4,Medium,Good,Diploma,Yes,No,89.5
STU100136,18,Male,Mechanical Engineering,3rd,8.3,56.8,68.5,62.5,55.9,7.3,8.1,2.8,9,Medium,Good,Graduate,No,No,91.2
STU100137,23,Female,Mechanical Engineering,4th,3.6,64.6,92.4,57.4,38,6,8.9,2.6,5,Low,Good,Graduate,No,No,79.6
STU100138,18,Female,Data Science,4th,4.9,46.7,70.3,86.3,84.7,7.2,6.6,2.2,3,Low,Good,School,No,Yes,71.1
STU100139,17,Female,Civil Engineering,4th,3.5,61.9,67.3,59.7,76.8,6.7,4.6,4,8,Low,Average,Graduate,No,No,74.2
STU100140,20,Male,Mechanical Engineering,2nd,5.4,84.9,74.8,93.1,51.5,7.6,4,1.1,3,Medium,Poor,Graduate,No,No,85.4
STU100141,23,Female,Computer Engineering,2nd,3.7,71.3,91.4,61.3,85.2,8,4.6,5.7,8,Medium,Good,Graduate,No,No,93.7
STU100142,17,Male,Information Technology,1st,3.7,80,67.4,49.5,79.3,10,5.8,1.2,4,Low,Average,Diploma,Yes,No,78.1
STU100143,20,Female,Electronics,1st,1.9,78.2,73.7,79.9,70,8.2,7.2,1.8,3,Medium,Average,Graduate,No,No,70.9
STU100144,18,Male,Information Technology,4th,5,78.4,66.6,65.3,65.1,6.9,6.1,0,5,High,Good,Graduate,No,No,89.1
STU100145,17,Female,Computer Engineering,2nd,5.7,90.3,66.7,48.3,68.3,6.8,7.7,2,7,Medium,Poor,Graduate,Yes,No,81.6
STU100146,23,Male,Data Science,3rd,8.5,75.6,61.6,75.8,72.9,5.8,6.3,3.8,6,Low,,Graduate,No,No,78.6
STU100147,23,Male,Computer Engineering,3rd,5.7,88.9,60.7,52.4,59,5.8,7.3,1.1,3,High,Good,Diploma,No,No,84.8
STU100148,22,Male,Civil Engineering,4th,3.9,48.3,90,42.2,85.7,7.1,5.1,4.5,6,Medium,Average,Graduate,No,Yes,74.3
STU100149,21,Male,Civil Engineering,1st,2.1,91.3,60.8,82.2,77.8,7.1,2.9,2.2,5,Medium,Good,Diploma,Yes,No,84.1
STU100150,19,Female,Civil Engineering,2nd,2.4,62.5,48,94.3,68.1,,7.8,0.4,6,High,Poor,Graduate,No,No,67.4
STU100151,20,Female,Mechanical Engineering,2nd,2.2,65.1,69.6,66.1,94.4,6,9.6,1.2,5,Medium,Poor,Graduate,Yes,Yes,70.8
STU100152,22,Female,Data Science,2nd,8.6,69.5,81.2,90.2,65.8,5.9,5.8,3.2,3,Medium,Poor,Graduate,Yes,No,77.5
STU100153,19,Male,Civil Engineering,4th,5.4,91,84.2,84,91.7,7.1,4.1,1.7,6,Low,Good,Graduate,Yes,No,100
STU100154,19,Female,Electronics,4th,3.6,67.3,52.5,82,74.1,6.2,6.1,4.9,5,Medium,Poor,Postgraduate,No,No,72.5
STU100155,17,Female,Electronics,2nd,2.9,70.1,82.5,69.5,80.6,7.2,4.5,1.5,6,High,Average,School,Yes,No,75.4
STU100156,19,Male,Computer Engineering,4th,3.1,66.5,94.8,63.1,64.9,6.3,5.3,2.3,2,Medium,Poor,Graduate,No,No,64
STU100157,21,Male,Civil Engineering,2nd,3.6,81.1,59.1,77.2,43.8,6.5,5.4,1.5,5,High,Average,Diploma,No,Yes,80.1
STU100158,23,Female,Mechanical Engineering,4th,7.4,86.9,65.7,81.7,76.7,7.3,3.7,3.9,2,Medium,Average,Graduate,No,No,83.8
STU100159,22,Female,Electronics,1st,4.7,98.5,52,53.1,53.4,6.2,3.8,0.3,5,Medium,Average,Graduate,No,No,65.3
STU100160,19,Female,Information Technology,4th,1.9,100,92.1,67.1,61.4,6.4,5.1,0,4,High,Good,Postgraduate,No,No,90
STU100161,17,Male,Data Science,2nd,9.4,85.8,48.6,69.2,71.1,7.4,4.8,1.7,2,Low,Good,Graduate,No,Yes,82.2
STU100162,21,Female,Information Technology,1st,2.5,82.4,62.8,67.8,61,6.9,6.3,2.2,6,Low,Good,School,No,No,71.5
STU100163,18,Male,Electronics,2nd,3.6,63.4,78.2,61.9,69.6,6.1,5.7,0,7,Low,Good,Diploma,No,No,79.6
STU100164,23,Female,Electronics,2nd,7.4,100,59.1,52,72.8,6.3,6.4,3.1,6,Medium,Average,Graduate,Yes,No,84.4
STU100165,23,Female,Computer Engineering,3rd,5.6,80.6,55.1,67.4,49.4,7.9,4.9,3.6,9,Medium,Average,Diploma,Yes,No,79.8
STU100166,22,Male,Computer Engineering,1st,3.9,74.5,67.3,67.8,73.8,7.1,3.6,2,7,Medium,Good,Diploma,No,No,71.8
STU100167,23,Female,Civil Engineering,3rd,2.3,82.7,98,64.9,61.3,6.4,3.1,1.5,5,Medium,Average,Postgraduate,No,No,88.2
STU100168,19,Male,Data Science,3rd,2.9,70.4,64.7,81.7,55,7.8,7.2,4.7,6,High,Good,,Yes,No,66.4
STU100169,17,Other,Civil Engineering,3rd,3,49.9,65.3,51.5,42,7.3,4.2,0.8,1,Low,Average,School,No,No,53.8
STU100170,23,Male,Computer Engineering,4th,4.8,84.9,53.5,76.2,48.2,8.3,3.9,3.3,4,High,Average,,Yes,No,78.7
STU100171,23,Male,Mechanical Engineering,1st,5.2,94.1,73,45.1,70.3,7.8,7.8,1.8,8,Low,Good,Graduate,No,No,87.6
STU100172,18,Male,Data Science,3rd,4.5,84.7,79.5,71,70.6,8.1,4.4,2.8,5,Medium,Good,Diploma,No,Yes,97.5
STU100173,18,Male,Mechanical Engineering,4th,4.7,77.9,60.1,38.2,77.3,6.4,1,3.7,2,Medium,Average,Diploma,No,Yes,63.2
STU100174,20,Male,Civil Engineering,3rd,2.7,78.2,75,58.7,94,5.8,5.6,3,7,Medium,Good,Graduate,No,No,80.7
STU100175,21,Female,Computer Engineering,3rd,5.4,80.1,60.2,71.7,89,7.6,4.1,0,3,Medium,Poor,Postgraduate,No,No,88
STU100176,19,Female,Data Science,3rd,7.4,79.7,43.4,50.6,83.9,7.7,3.8,3.9,6,Low,Average,Graduate,No,No,84.8
STU100177,23,Female,Civil Engineering,2nd,4.5,77.3,73.9,50.7,86.6,6.7,4.9,0,9,Medium,Good,Diploma,No,No,81.3
STU100178,23,Male,Electronics,3rd,4.4,78.3,95,86.7,72.5,5.7,1.1,3.5,1,Low,Good,Graduate,Yes,No,92.9
STU100179,17,Female,Civil Engineering,4th,5,96.7,52.5,48.1,72.3,7.1,1.5,3.2,5,High,Average,Graduate,Yes,No,82.6
STU100180,20,Male,Information Technology,1st,7,83.7,70.3,70.2,91.5,7.2,4.3,2.1,2,Low,Average,School,No,No,86.1
STU100181,21,Female,Electronics,4th,3,79.3,85,94.1,73,5.3,6.3,3.2,8,Low,Good,Graduate,No,No,89.4
STU100182,20,Male,Mechanical Engineering,1st,7.7,85.9,66.7,74.1,73.3,7.2,4.7,0.8,8,Low,Poor,Graduate,No,Yes,94.1
STU100183,22,Female,Electronics,2nd,5.6,85.9,49.5,72.4,86.3,8.1,4.6,0.5,5,Medium,Average,Graduate,No,Yes,93.8
STU100184,21,Female,Civil Engineering,4th,4.9,89.4,68.6,61.3,66.1,5.4,5.2,3.3,3,Low,Average,Postgraduate,No,No,70.3
STU100185,23,Female,Electronics,4th,7.2,68.9,87.4,61.3,68.1,7.4,7,2,4,Medium,Good,Diploma,No,Yes,88.7
STU100186,23,Male,Information Technology,4th,2.4,72.2,61.4,69.5,50.9,,5.3,4.7,10,Low,Good,School,No,No,72.6
STU100187,21,Male,Civil Engineering,4th,5.8,68.2,71,42.1,63.5,8.3,5.1,2,5,High,Average,Graduate,No,No,80.6
STU100188,23,Male,Information Technology,2nd,5.7,87.2,54.3,87.2,65.4,4.7,4.1,1,4,Medium,Good,Graduate,No,Yes,84.8
STU100189,19,Female,Electronics,3rd,2.9,86.6,66.7,75.1,66.2,8,4.4,6.5,5,Medium,Average,Diploma,No,Yes,75
